id,Ticker,Pays,Industrie,Secteur,Bourse,Nom_complet,Devise,Devise_financiere,Cloture_precedente,Prix_d_ouverture,Plus_bas_du_jour,Plus_haut_du_jour,Cloture_precedente_marche_regulier,Prix_actuel,Plus_bas_sur_52_semaines,Plus_haut_sur_52_semaines,Moyenne_sur_50_jours,Moyenne_sur_200_jours,Volume,Volume_moyen,Volume_moyen_10_jours,Capitalisation_boursiere,Actions_en_circulation,Pourcentage_detenu_institutions,Ratio_cours_ventes_TTM,Valeur_d_entreprise,Marges_beneficiaires,Ratio_cours_valeur_comptable,Valeur_entreprise_chiffre_d_affaires,Valeur_entreprise_EBITDA,Taux_de_dividende,Rendement_du_dividende,Ratio_de_distribution,Rendement_moyen_5_ans,Valeur_dernier_dividende,Croissance_trimestrielle_benefices,Benefice_net_actions_ordinaires,BPA_historique,BPA_previsionnel,Croissance_benefices,Croissance_chiffre_d_affaires,Marges_brutes,Marges_EBITDA,Marges_operationnelles,Rendement_actifs,Rendement_capitaux_propres,Tresorerie_totale,Tresorerie_par_action,Dette_totale,Ratio_dette_capitaux_propres,Valeur_comptable,Ratio_liquidite_immediate,Ratio_liquidite_courante,Benefice_brut,Flux_de_tresorerie_dispo,Flux_de_tresorerie_exploitation,Objectif_prix_eleve,Objectif_prix_bas,Prix_cible_moyen,Prix_cible_median,Moyenne_des_recommandations,Recommandation_cle,Nombre_d_avis_analystes,Dernier_split,Date_dernier_split,Variation_52_semaines,Beta,PER_historique,PER_previsionnel,Ratio_PEG_historique,Date_de_collecte
18,DTG.DE,Germany,Farm & Heavy Construction Machinery,Industrials,GER,Daimler Truck Holding AG,EUR,EUR,41.05,41.4,41.04,41.7,41.05,41.22,29.61,47.64,38.1492,36.6427,1059971.0,1020352.0,1388907.0,32559060992.0,789884992.0,0.2739,0.59548,53614460928.0,0.06123,1.5262145,0.981,9.567,1.9,0.0463,0.45560002,,1.9,-0.341,3348000000.0,4.17,4.54,-0.318,-0.052,0.2035,0.10248999,0.08104999,0.0425,0.15809,9374999552.0,11.822,29685999616.0,134.734,27.008,1.101,1.608,11127000064.0,2592000000.0,-191000000.0,56.0,33.0,46.82647,47.0,1.64706,buy,17.0,,,0.19574714,1.045,9.884892,8.983739,,2025-02-09 23:23:17.587021
19,HNR1.DE,Germany,Insurance - Reinsurance,Financial Services,GER,Hannover Rück SE,EUR,EUR,253.4,254.6,252.0,256.6,253.4,252.8,208.9,265.6,252.042,243.0925,149005.0,92756.0,80558.0,30486921216.0,120597000.0,0.2392,1.1141984,28390279168.0,0.08222,2.7364044,1.038,8.349,6.0,0.023699999,0.3215,2.67,1.2,0.51,2249799936.0,18.65,20.18,0.511,0.271,0.14419,0.124280006,0.18527001,0.03076,0.2002,7630900224.0,63.274,4658800128.0,38.771,92.384,0.158,0.223,3945299968.0,3938475008.0,6018800128.0,320.0,185.0,267.13333,269.0,2.53333,hold,15.0,3:1,2002-07-15 02:00:00,0.11629951,0.574,13.55496,12.249232,0.9809,2025-02-09 23:23:19.701229
20,EOAN.DE,Germany,Utilities - Diversified,Utilities,GER,E.ON SE,EUR,EUR,11.475,11.5,11.5,11.645,11.475,11.63,10.435,13.82,11.3466,12.293575,6711299.0,5755414.0,5083998.0,30373607424.0,2611660032.0,0.39026,0.47234398,69170216960.0,0.0277,2.1521096,1.076,9.079,0.53,0.045,0.76809996,4.63,0.53,0.524,1790000000.0,0.69,1.09,0.523,-0.098,0.11677,0.11848,0.18152,0.02639,0.11229999,5264000000.0,2.016,37552001024.0,170.52,5.404,0.802,0.862,7509000192.0,768124992.0,6226999808.0,18.0,12.6,15.08824,15.0,1.70588,buy,17.0,3:1,2008-08-04 02:00:00,-0.04055184,0.634,16.855072,10.563316,0.2084,2025-02-09 23:23:21.807985
21,BEI.DE,Germany,Household & Personal Products,Consumer Defensive,GER,Beiersdorf Aktiengesellschaft,EUR,EUR,126.65,125.95,124.8,126.95,126.65,126.4,120.1,147.8,125.089,131.5285,345293.0,182464.0,156189.0,28454662144.0,225116000.0,0.20752001,2.9377105,25595682816.0,0.07619,3.3738155,2.643,18.575,1.0,0.007900001,0.3077,0.7,1.0,0.003,738000000.0,3.25,4.74,0.004,0.048,0.58134997,0.14227,0.15652001,0.054190002,0.090179995,2870000128.0,12.749,,,37.465,1.261,1.69,5631000064.0,708249984.0,1236999936.0,180.0,105.0,143.68182,146.0,2.13636,buy,22.0,3:1,2006-07-17 02:00:00,-0.082910955,0.333,38.892307,26.3142,1.8633,2025-02-09 23:23:23.960083
22,HEI.DE,Germany,Building Materials,Basic Materials,GER,Heidelberg Materials AG,EUR,EUR,143.5,144.75,143.3,146.5,143.5,145.65,81.94,146.5,125.901,105.72055,409176.0,338889.0,340815.0,26381729792.0,181131008.0,0.36207,1.2689868,34358278144.0,0.085839994,1.512147,1.653,9.2,3.0,0.0209,0.2967,3.2,3.0,-0.201,1853799936.0,10.12,12.43,-0.182,-0.045,0.63048,0.17964001,0.11033,0.04958,0.1106,1803500032.0,9.913,8636099584.0,46.554,96.32,0.716,1.114,13107500032.0,1679787520.0,3236100096.0,175.0,91.0,132.80527,135.0,2.31579,buy,19.0,,,0.7156863,1.273,14.392292,11.341577,2.0688,2025-02-09 23:23:26.068859
23,HLAG.DE,Germany,Marine Shipping,Industrials,GER,Hapag-Lloyd Aktiengesellschaft,EUR,EUR,140.7,140.5,140.0,146.5,140.7,144.5,112.6,190.5,148.342,155.91,22527.0,11623.0,13473.0,25397319680.0,175760000.0,0.2284,1.52108,31248279552.0,0.04583,1.3588362,1.872,24.853,9.25,0.054899998,2.1216002,12.38,9.25,-0.572,765299968.0,8.33,1.32,-0.572,0.029,0.19795,0.0753,0.10054,0.01748,0.04178,4240199936.0,24.119,5778200064.0,31.274,106.341,1.043,1.506,3305200128.0,186150000.0,2391500032.0,169.0,80.0,120.75,115.0,4.08333,underperform,12.0,,,0.096648455,1.324,17.34694,27.964045,,2025-02-09 23:23:28.177922
24,CBK.DE,Germany,Banks - Regional,Financial Services,GER,Commerzbank AG,EUR,EUR,18.945,19.1,18.845,19.1,18.945,18.86,10.275,19.1,16.3873,15.251225,4260563.0,4853916.0,4589918.0,22342875136.0,1184669952.0,0.44525,2.2683122,-73564078080.0,0.23562999,0.89392364,-7.468,,0.65,0.0343,0.19770001,2.92,0.35,-0.063,2127000064.0,1.77,2.22,0.008,-0.072,,,0.36435002,0.00446,0.07113,123542003712.0,77.543,18742999040.0,,21.098,,,9850000384.0,,,22.0,16.5,19.46923,19.6,1.92308,buy,13.0,1:10,2013-04-24 02:00:00,0.82251084,1.078,10.655368,8.401714,0.8278,2025-02-09 23:23:30.275184
25,RWE.DE,Germany,Utilities - Diversified,Utilities,GER,RWE Aktiengesellschaft,EUR,EUR,29.34,29.36,28.65,29.77,29.34,28.65,27.76,36.35,29.413,31.7487,4134849.0,2343862.0,2127963.0,21311045632.0,743841024.0,0.41829,0.6342195,32508481536.0,0.08375,0.6421895,0.967,3.812,1.0,0.0341,0.26389998,2.54,1.0,-0.361,2814000128.0,3.79,2.03,-0.361,0.124,0.4714,0.25382,0.23176001,0.04745,0.08366,10872000512.0,14.634,20092000256.0,57.164,44.613,0.679,1.545,15840000000.0,-2345750016.0,2851000064.0,50.0,34.2,42.49706,42.0,1.52941,buy,17.0,,,-0.09611827,,7.5593667,13.547252,5.9574,2025-02-09 23:23:32.388308
26,FRE.DE,Germany,Medical Care Facilities,Healthcare,GER,Fresenius SE & Co. KGaA,EUR,EUR,36.67,36.5,36.5,37.25,36.67,37.18,24.32,37.39,34.8228,32.3119,942656.0,776434.0,848674.0,20941152256.0,563236992.0,0.4172,0.91802865,33340162048.0,-0.01679,1.1123078,1.462,15.869,,,,1.15,0.92,,-479000000.0,0.82,3.37,,0.035,0.2337,0.0921,0.09169,0.01511,0.01441,1494000000.0,2.653,13317000192.0,68.634,33.426,0.642,1.356,5330999808.0,14618375168.0,3176000000.0,53.0,34.0,42.52667,43.0,1.6,buy,15.0,3:1,2014-08-04 02:00:00,0.45863163,1.04,45.341465,11.1198845,0.2566,2025-02-09 23:23:34.509498
27,TLX.DE,Germany,Insurance - Diversified,Financial Services,GER,Talanx AG,EUR,EUR,82.45,83.6,82.85,84.55,82.45,83.1,61.2,86.4,82.452,75.66925,119696.0,85771.0,70768.0,21458829312.0,258228992.0,0.08529,0.4373908,16063425536.0,0.03759,2.0527134,0.327,2.796,2.35,0.0301,0.32779998,3.88,2.7,0.282,1844000000.0,7.33,8.13,0.258,0.245,0.13233,0.11712,0.26962,0.02041,0.17497998,19300999168.0,74.579,8609000448.0,48.901,40.483,12.955,17.968,6492000256.0,3084694016.0,7697999872.0,95.3,67.0,81.88333,81.0,3.14286,hold,6.0,,,0.23428142,0.833,11.336971,9.91053,1.2813,2025-02-09 23:23:36.623624
28,BAYN.DE,Germany,Drug Manufacturers - General,Healthcare,GER,Bayer Aktiengesellschaft,EUR,EUR,21.22,21.195,20.79,21.285,21.22,20.945,18.412,31.03,20.07162,24.97929,2647555.0,4195986.0,2995008.0,20576870400.0,982424000.0,0.47487998,0.44025055,57244418048.0,-0.01883,0.6729966,1.225,5.637,0.11,0.0052,1.6327001,4.03,0.11,,-880000000.0,-0.89,5.32,,-0.036,0.57145,0.21729,-0.38342997,0.05113,-0.02727,4618999808.0,4.704,41161998336.0,134.104,31.122,0.737,1.323,26709000192.0,3329999872.0,7977999872.0,45.1,22.0,27.705,25.5,2.6,hold,20.0,,,-0.2362786,,,4.5476255,,2025-02-09 23:23:38.742393
29,MTX.DE,Germany,Aerospace & Defense,Industrials,GER,MTU Aero Engines AG,EUR,EUR,327.8,327.9,326.5,330.5,327.8,326.9,208.7,350.2,325.252,280.625,91669.0,96490.0,79661.0,17577707520.0,53770900.0,0.74672997,2.512537,18341128192.0,0.101339996,5.279478,2.622,18.928,2.0,0.0061000003,0.3756,1.52,2.0,,709000000.0,-1.34,15.44,,2.388,0.18325001,0.13851,0.14128,0.05046,0.23721,1910000000.0,35.303,2564999936.0,76.567,61.919,0.956,1.262,1282000000.0,,,430.0,245.0,338.0,350.0,2.57895,hold,19.0,,,0.50366974,1.44,,20.464043,,2025-02-09 23:23:40.852083
30,UN0.DE,Germany,Utilities - Independent Power Producers,Utilities,GER,Uniper SE,EUR,EUR,42.2,42.37,41.5,42.38,42.2,42.21,38.5,62.32,42.2136,45.0989,1209.0,3552.0,2707.0,17933508608.0,416475008.0,8.0000005e-05,0.1684831,12878631936.0,-0.025090002,1.5951174,0.121,-12.196,,,,3.19,1.4,,-2662000128.0,-6.4,1.67,,0.064,0.28933,-0.00992,0.0077899997,-0.024,-0.20482999,6906999808.0,16.404,1746000000.0,15.304,26.462,0.77,1.39,30797000704.0,2205250048.0,2191000064.0,36.5,34.0,35.16667,35.0,,none,3.0,1:20,2023-12-18 01:00:00,-0.24642855,,,26.4862,,2025-02-09 23:23:42.962700
31,EBK.DE,Germany,Utilities - Diversified,Utilities,GER,EnBW Energie Baden-Württemberg AG,EUR,EUR,63.8,63.8,63.2,64.0,63.8,63.8,58.2,79.8,61.508,65.962,69.0,155.0,126.0,17280548864.0,270855008.0,,0.4438729,19139049472.0,0.0154,1.6666667,0.492,5.246,1.5,0.0235,0.6757,1.45,1.5,,599500032.0,2.22,,,-0.01,0.2702,0.093710005,0.0802,0.02977,0.072129995,5029300224.0,18.568,,,38.28,0.711,1.414,10519400448.0,-3125074944.0,2440699904.0,,,,,,none,,,,-0.13783783,,28.738737,,,2025-02-09 23:23:45.074736
32,8TRA.DE,Germany,Farm & Heavy Construction Machinery,Industrials,GER,Traton SE,EUR,EUR,30.5,30.6,30.4,31.5,30.5,31.15,22.3,36.7,28.65,29.72625,207751.0,103730.0,113836.0,15575000064.0,500000000.0,0.04603,0.3248243,37578682368.0,0.053639997,0.91381127,0.784,5.555,1.5,0.049200002,0.2918,,1.5,0.031,2572000000.0,5.14,5.85,0.03,0.048,0.20599002,0.14109,0.08748,0.04535,0.15502,2896999936.0,5.786,24873000960.0,145.678,34.088,0.629,1.027,9877000192.0,858000000.0,1606000000.0,52.0,29.0,36.68867,34.0,2.125,buy,15.0,,,0.34124887,1.653,6.0603113,5.4822435,,2025-02-09 23:23:47.175707
33,FME.DE,Germany,Medical Care Facilities,Healthcare,GER,Fresenius Medical Care AG,EUR,EUR,47.02,46.59,46.56,47.12,47.02,46.82,32.51,48.31,44.9534,39.32225,537231.0,448584.0,392943.0,13737595904.0,293412992.0,0.36913,0.71404904,24762451968.0,0.03425,1.0084431,1.287,10.25,1.19,0.0253,0.52889997,1.3,1.19,1.525,658939008.0,2.25,3.41,1.525,-0.036,0.25136,0.12557,0.083170004,0.029830001,0.05819,1370889984.0,4.672,11227256832.0,75.906,46.428,0.79,1.374,4835878912.0,1888027904.0,2273508096.0,60.0,33.0,44.78889,44.0,2.94444,hold,18.0,3:1,2007-06-18 02:00:00,0.3046615,0.853,20.80889,13.169516,0.511,2025-02-09 23:23:49.285785
34,SY1.DE,Germany,Specialty Chemicals,Basic Materials,GER,Symrise AG,EUR,EUR,97.58,97.76,96.16,98.0,97.58,96.16,91.84,125.0,100.796,109.781,232477.0,244719.0,370483.0,13440476160.0,139772000.0,0.61818004,2.753188,15764603904.0,0.08038,3.5812447,3.229,17.554,1.1,0.0113,0.39150003,0.96,1.1,0.277,392391008.0,2.81,3.59,0.276,0.063,0.37467,0.18396,0.14801,0.04908,0.107329994,308260000.0,2.201,2553048064.0,66.934,26.851,1.469,2.965,1829075968.0,449676992.0,863449024.0,137.0,105.0,119.44474,117.5,2.10526,buy,19.0,,,0.022636771,0.53,34.220642,25.472849,1.6364,2025-02-09 23:23:51.401640
