Pays,Industrie,Secteur,Bourse,Nom complet,Ticker,Devise,Devise financière,Clôture précédente,Prix d’ouverture,Plus bas du jour,Plus haut du jour,Clôture précédente marché régulier,Prix actuel,Plus bas sur 52 semaines,Plus haut sur 52 semaines,Moyenne sur 50 jours,Moyenne sur 200 jours,Volume,Volume moyen,Volume moyen 10 jours,Capitalisation boursière,Actions en circulation,Pourcentage détenu institutions,Ratio cours/ventes TTM,Valeur d’entreprise,Marges bénéficiaires,Ratio cours/valeur comptable,Valeur entreprise / chiffre d’affaires,Valeur entreprise / EBITDA,Taux de dividende,Rendement du dividende,Ratio de distribution,Rendement moyen 5 ans,Valeur dernier dividende,Croissance trimestrielle bénéfices,Bénéfice net actions ordinaires,BPA historique,BPA prévisionnel,Croissance bénéfices,Croissance chiffre d’affaires,Marges brutes,Marges EBITDA,Marges opérationnelles,Rendement actifs,Rendement capitaux propres,Trésorerie totale,Trésorerie par action,Dette totale,Ratio dette/capitaux propres,Valeur comptable,Ratio liquidité immédiate,Ratio liquidité courante,Bénéfice brut,Flux de trésorerie dispo,Flux de trésorerie exploitation,Objectif prix élevé,Objectif prix bas,Prix cible moyen,Prix cible médian,Moyenne des recommandations,Recommandation clé,Nombre d’avis analystes,Dernier split,Date dernier split,Variation 52 semaines,Bêta,PER historique,PER prévisionnel,Ratio PEG historique,Business_models
Canada,Aerospace & Defense,Industrials,NYQ,CAE Inc.,CAE,USD,CAD,23.8,23.89,23.7,24.27,23.8,24.06,15.95,25.53,23.8646,20.02195,251583.0,511153,557880,7665275392,318590016,0.73208,1.7303497,10729424896,-0.07379,1.7491821,2.422,14.718,,,,1.4,0.08,-0.101,-345500000,-0.75,0.99,-0.095,0.082,0.26048002,0.16455999,0.11226,0.02787,-0.07368,179700000,0.564,3244600064,72.68,13.755,0.551,0.841,1153900032,338887488.0,585200000.0,28.067244,18.68307,23.375156,23.375156,2.61538,hold,2.0,,,0.10904002,1.914,,16.688631,,"CAE est l'acteur incontournable des technologies de simulation et de formation pour les secteurs de l’aviation civile, de la défense et de la sécurité. Son modèle repose sur l’innovation en simulation, l’expansion des services de formation et la gestion des commandes à long terme.
En 2024, CAE a généré un chiffre d’affaires de 2,21 milliards CAD sur les six premiers mois (+7 % vs 2023) et un bénéfice net de 105,6 millions CAD. Son activité se divise en deux segments. Aviation civile (56 % du CA, 1,23 milliard CAD), portée par la vente de simulateurs de vol (+27 unités commandées sur six mois) et la formation des pilotes. La division Défense et sécurité (44 % du CA, 980,8 millions CAD) connaît une croissance de 3 %, avec des commandes records grâce au contrat FAcT de 25 ans pour l’entraînement des forces aériennes canadiennes (1,7 milliard CAD ajouté au carnet de commandes).
Géographiquement, CAE réalise 41 % de ses revenus en Amérique du Nord, 29 % en Europe, 14 % en Asie-Pacifique et 16 % ailleurs. L’entreprise bénéficie d’un carnet de commandes record de 18 milliards CAD (+53 % vs 2023) et continue d’investir dans l’expansion de ses centres de formation, notamment via l’acquisition majoritaire de SIMCOM Aviation Training pour 230 millions USD.
Risque principal : CAE est exposé aux cycles de dépenses en aviation et défense, à la concurrence accrue dans la simulation et aux défis liés aux contrats fixes hérités de la période pré-COVID. Son succès repose sur la croissance de la formation récurrente et l’exécution efficace des nouveaux contrats militaires."
Canada,Railroads,Industrials,NYQ,Canadian Pacific Kansas City Limited,CP,USD,CAD,77.18,77.32,76.97,78.14,77.18,78.11,70.89,91.58,75.6674,79.29495,1243314.0,3321830,4695040,72915689472,933500032,0.75753,5.0467668,95972909056,0.24502,1.6514441,6.643,12.611,0.53,0.0067000003,0.2005,0.79,0.141,0.073,3540000000,2.78,3.6,0.071,0.063,0.53634,0.52672,0.37418997,0.04397,0.08088,463000000,0.496,21913999360,48.611,47.298,0.415,0.53,7749000192,2288624896.0,4901000192.0,100.95344,71.74053,88.56935,90.75422,1.84848,buy,16.0,5:1,1620950400.0,-0.08532828,0.789,28.097122,13.884692,,"CPKC (Canadian Pacific Kansas City) est le premier chemin de fer reliant directement le Canada, les États-Unis et le Mexique, offrant une infrastructure unique pour le transport de marchandises en Amérique du Nord. Son modèle économique repose sur l’efficacité opérationnelle et l’expansion de son réseau après la fusion entre Canadian Pacific et Kansas City Southern.
Le groupe a généré 14,5 milliards CAD de revenus en 2024 (+16 %). Son chiffre d’affaires se répartit ainsi : Bulk (grains, charbon, potasse) en forte croissance, Merchandise (produits chimiques, métaux, automobiles) et Intermodal (conteneurs). L’Intermodal, bien que clé pour la connectivité entre les trois pays, a été impacté par des perturbations logistiques et climatiques.
La répartition géographique est bien équilibrée grâce à son corridor nord-sud, favorisant le commerce entre les trois pays. L’entreprise a affiché un ratio d’exploitation de 64,4 % en 2024 et vise une amélioration grâce aux synergies post-fusion et aux investissements dans son réseau.
Risque principal : CPKC est exposé aux fluctuations des prix des matières premières, aux perturbations climatiques et aux régulations gouvernementales aux États-Unis et au Mexique, pouvant impacter son activité. Son niveau d’endettement et la rentabilité attendue des synergies de la fusion seront également des éléments à surveiller."
United States,Building Products & Equipment,Industrials,NYQ,Carrier Global Corporation,CARR,USD,USD,64.17,64.79,64.51,66.38,64.17,66.17,53.13,83.32,69.8842,69.71455,6193029.0,5123508,6594410,59369508864,897227008,0.85653996,2.3938353,68576079872,0.14003,4.0431385,2.765,20.668,0.9,0.0139999995,0.4441,,0.225,0.252,1535000064,1.7,3.04,0.167,0.213,0.28301,0.13378,0.12684,0.04176,0.13931,2224999936,2.48,12876999680,85.607,16.366,0.513,1.079,7018999808,1345374976.0,1492999936.0,95.0,53.0,80.0895,79.0,2.28,buy,20.0,,,0.14507496,1.212,38.923527,22.151253,1.2017,"Carrier est un leader mondial des solutions climatiques et énergétiques intelligentes, spécialisé dans le chauffage, la ventilation et la climatisation (HVAC) ainsi que la réfrigération commerciale. Son modèle économique repose sur l’innovation, l’électrification et l’amélioration de l’efficacité énergétique. En 2024, l’entreprise a réalisé 22,5 milliards CAD de revenus, avec une croissance organique de +3 % et une marge opérationnelle ajustée de 15,5 %.
La répartition des revenus se structure ainsi : 85 % en HVAC (solutions de chauffage et climatisation) et 15 % en réfrigération (chaîne du froid et solutions de transport). L’entreprise a renforcé son offre avec Viessmann Climate Solutions, apportant des synergies technologiques et des gains d’efficacité estimés à 200 millions CAD sur trois ans.
Carrier est bien positionnée sur le marché nord-américain, avec un développement stratégique en Europe et en Asie-Pacifique. L’activité aftermarket, générant des revenus récurrents, affiche une croissance à deux chiffres, soutenue par l’essor des solutions connectées et de la gestion énergétique domestique.
Risque principal : Carrier est exposée à des risques liés à la hausse des coûts des matières premières, aux perturbations de la chaîne d’approvisionnement et à l’intensification de la concurrence. De plus, l’entreprise doit gérer l’intégration de Viessmann et honorer des engagements financiers élevés, notamment liés à son endettement et aux règlements juridiques en cours."
France,Luxury Goods,Consumer Cyclical,PAR,Christian Dior SE,CDI.PA,EUR,EUR,628.5,626.0,625.5,632.0,628.5,630.5,529.5,832.5,613.12,625.825,2771.0,4222,4387,116735188992,180411008,0.00433,1.3638881,195349921792,0.067940004,4.935073,2.282,8.151,13.0,0.0188,0.4035,1.47,5.5,-0.139,5815000064,28.85,,-0.139,-0.013,0.68528,0.28000998,0.25546,0.09774999,0.24114999,11178000384,61.959,40866000896,63.896,127.759,0.589,1.384,58652999680,9844750336.0,18928001024.0,,,,,,none,,4:1,962582400.0,-0.2003817,1.069,21.85442,,,"Christian Dior SE est une holding de contrôle qui détient 41,4 % du capital et 56 % des droits de vote de LVMH. En 2017, LVMH a intégré la maison de couture Dior dans son portefeuille pour 13,1 milliards de dollars, renforçant son offre dans la mode et la maroquinerie. Le groupe LVMH, sous l’égide de Christian Dior SE, a réalisé 84,7 milliards d’euros de revenus en 2024, avec une marge opérationnelle de 23,1 %. La répartition des revenus est la suivante : Fashion & Leather Goods (48 %), Selective Retailing (22 %), Watches & Jewelry (12 %), Perfumes & Cosmetics (10 %) et Wines & Spirits (7 %). Géographiquement, l’Asie, les États-Unis et l’Europe sont les principaux moteurs de croissance, bien que la Chine montre un ralentissement.
Dior bénéficie d’une forte désirabilité de marque, soutenue par une stratégie marketing et une distribution sélective. Le Groupe continue aussi d’investir dans la durabilité, avec une réduction significative de ses émissions carbone depuis 2019.
Risque principal : En tant que holding, Christian Dior SE dépend des performances de LVMH, exposé aux fluctuations monétaires, aux cycles du luxe et aux incertitudes économiques en Chine. Son modèle reste cependant solide, porté par une diversification sectorielle et une gouvernance familiale stable."
Switzerland,Luxury Goods,Consumer Cyclical,EBS,Compagnie Financière Richemont SA,CFR.SW,CHF,EUR,175.0,174.35,174.35,175.9,175.0,175.9,112.8,179.0,147.967,136.01276,635349.0,1090249,997401,102961307648,531582016,0.43280998,5.029372,100816502784,0.06404,5.1744423,4.925,19.881,2.75,0.015700001,0.5042,1.9,2.75,-0.696,3391000064,5.44,6.42,-0.699,-0.014,0.67574996,0.2477,0.21911,0.06633,0.17379999,19170000896,32.719,17386999808,87.005,33.994,1.747,2.523,13834000384,2932250112.0,4279000064.0,208.7906,97.0359,168.9326,171.87189,1.96296,buy,28.0,,,0.29485762,1.22,32.334557,24.167,0.5812,"Richemont est un acteur majeur du luxe mondial, spécialisé dans la joaillerie, l’horlogerie et la mode & accessoires. En 2024, le groupe a réalisé 6,2 milliards d’euros de ventes au troisième trimestre (+10 % à taux constants) et affiche une position de trésorerie nette de 7,9 milliards d’euros.
La répartition des revenus est dominée par les maisons de joaillerie (71 % du chiffre d’affaires), suivies des horlogers spécialisés (7 %) et des autres segments, incluant la mode et les plateformes digitales (22 %). Les marques phares du groupe incluent Cartier, Van Cleef & Arpels et Buccellati pour la joaillerie, ainsi que IWC, Jaeger-LeCoultre, Vacheron Constantin et Panerai pour l’horlogerie.
Sur le plan géographique, les Amériques (+22 %) et l’Europe (+19 %) ont été les principaux moteurs de croissance, tandis que la Chine est restée un marché difficile (-7 % en Asie-Pacifique). Le retail direct (78 % des ventes) continue de croître, avec une progression marquée des canaux en ligne (+17 %).
Risque principal : Richemont est exposé à la sensibilité du marché du luxe aux cycles économiques et à la faiblesse de la demande chinoise, qui peut peser sur l’horlogerie. Le groupe doit aussi gérer l’intensification de la concurrence sur le segment de la joaillerie, tout en poursuivant ses investissements dans la distribution et l’innovation produit."
United States,Electronic Components,Technology,NYQ,Corning Incorporated,GLW,USD,USD,52.97,53.33,52.645,53.6,52.97,53.03,30.72,55.33,49.2204,43.3578,2777940.0,4900725,8294120,45351735296,855209024,0.72836995,3.5962045,50955575296,0.01237,3.8878298,4.041,19.546,1.12,0.0219,5.8946996,2.94,0.28,,156000000,0.58,2.31,,0.069,0.33661,0.20672001,0.11236,0.02754,0.019299999,1612999936,1.884,8341000192,72.739,13.64,0.776,1.655,4244999936,1113874944.0,2028999936.0,65.0,43.0,54.78,57.0,1.93333,buy,14.0,3:1,970617600.0,0.64605343,1.029,91.43104,19.635431,0.5573,"Corning est un leader mondial des matériaux innovants, spécialisé dans les technologies du verre, les communications optiques, l’automobile, les sciences de la vie et les technologies environnementales. En 2024, l’entreprise a généré 14,5 milliards de dollars de chiffre d’affaires (+7 % sur un an) avec une marge brute de 38,2 % et un cash-flow libre ajusté de 1,25 milliard de dollars (+42 %).
La répartition des revenus par segment est la suivante : Optical Communications (32 %), Display Technologies (27 %), Specialty Materials (14 %), Environmental Technologies (12 %) et Life Sciences (7 %). L’activité la plus dynamique est celle des réseaux optiques (+51 % sur un an en Q4), notamment grâce à l’essor de l’intelligence artificielle générative et des centres de données.
Corning bénéficie d’une position forte grâce à ses brevets technologiques, son expertise dans le verre et la fibre optique et son diversification industrielle. L’entreprise continue d’investir dans des projets stratégiques comme l’expansion de sa production de Gorilla Glass et le développement de solutions pour l’interconnexion des centres de données via la fibre optique.
Risque principal : Corning est sensible aux fluctuations des devises, notamment du yen japonais, ainsi qu’aux cycles économiques dans l’électronique et l’automobile. La dépendance aux grands clients, comme Apple pour les écrans et la connectivité, peut aussi affecter sa performance en cas de ralentissement des commandes."
France,REIT - Diversified,Real Estate,PAR,Covivio,COV.PA,EUR,EUR,51.15,51.2,51.2,51.7,51.15,51.6,39.54,56.85,49.47,50.0074,74380.0,114916,126224,5744834048,110792000,0.40847,5.407147,19627053056,-0.69408995,0.70213634,18.473,22.378,3.3,0.0645,0.5708,6.81,3.3,,-737438016,-7.37,4.36,,0.085,0.80476,0.8255,0.765,0.01918,-0.07551,1335817984,12.056,11568999424,97.47,73.49,0.858,1.317,855017984,-317804864.0,1082141056.0,66.0,55.0,62.05455,62.5,2.0,buy,11.0,5:1,1073260800.0,0.19621146,1.608,,11.719734,,"Covivio est une société qui compte au sein de l’immobilier européen, spécialisé dans les bureaux, l’hôtellerie et le résidentiel. Son portefeuille est valorisé à 15,4 milliards d’euros (23 milliards d’euros en part totale), avec une présence stratégique dans les grandes villes européennes. L’entreprise mise sur la centralité, la durabilité et l’hospitalité pour maximiser la rentabilité et la valorisation de ses actifs.
La répartition des revenus est équilibrée entre les bureaux (50 %), l’hôtellerie (30 %) et le résidentiel (20 %). Les bureaux, situés à 69 % en centres-villes, affichent un taux d’occupation de 95,6 % et une rentabilité stable. Le segment hôtelier est le premier portefeuille hôtelier en Europe, avec 311 hôtels et 43 400 chambres, bénéficiant d’une croissance continue du tourisme. Le résidentiel, principalement en Allemagne (Berlin, Hambourg, NRW), représente une opportunité de valorisation grâce à la forte demande locative et à un potentiel de revalorisation locative de +32 %.
Covivio a accéléré la diversification de son portefeuille, avec 1,5 milliard d’euros de cessions réalisées depuis 2022 et un endettement maîtrisé (LTV < 40 %). L’entreprise mise sur l’optimisation de ses loyers (+13,6 % de croissance locative cumulée depuis 2022) et le développement de l’hospitalité dans tous ses actifs pour renforcer l’attractivité de son portefeuille.
Risque principal : Covivio reste exposé aux fluctuations des taux d’intérêt et aux cycles immobiliers, notamment dans le bureau et l’hôtellerie. L’entreprise doit aussi gérer l’intensification de la régulation sur le logement en Allemagne et les défis liés à la transformation de certains actifs pour maintenir leur attractivité."
France,Packaged Foods,Consumer Defensive,PAR,Danone S.A.,BN.PA,EUR,EUR,66.9,66.9,66.38,67.12,66.9,66.64,56.14,67.96,65.098,62.6437,912527.0,1139030,1224323,42926620672,644156992,0.54312,1.5776625,53169537024,0.03701,2.5619931,1.954,11.126,2.1,0.031400003,1.3548,2.63,2.1,0.115,1003000000,1.55,3.79,0.113,-0.029,0.48439997,0.17563999,0.12692,0.048210002,0.06492,6264999936,9.733,16318999552,97.154,26.011,0.655,0.914,13180000256,2850500096.0,3521999872.0,80.0,56.0,68.15455,69.0,2.57143,hold,22.0,2:1,1180656000.0,0.096541524,0.471,42.99355,17.479801,0.781,"Danone est un leader mondial de l’alimentation, structuré autour de trois segments : Produits Laitiers et d’Origine Végétale (EDP) (49 % des revenus), Nutrition Spécialisée (32 %) et Eaux (19 %). En 2024, l’entreprise a généré 13,8 milliards d’euros de chiffre d’affaires au premier semestre (+4,0 % à périmètre constant), avec une marge opérationnelle récurrente de 12,7 % (+45 bps).
La répartition géographique des revenus est bien équilibrée : Europe (35 %), Amérique du Nord (24 %), Asie-Pacifique (13 %), Amérique Latine (11 %) et le reste du monde (16 %). La croissance est portée par la performance de la Chine (+8,6 % en 2024) et une dynamique positive en Amérique du Nord (+3,7 %), tandis que l’Europe progresse modérément (+1,7 %).
Danone a renforcé son portefeuille avec la cession des activités bio premium aux États-Unis et la sortie de son activité produits laitiers en Russie, tout en acquérant Functional Formularies, une entreprise spécialisée dans l’alimentation médicale aux États-Unis. L’entreprise poursuit sa transformation avec la stratégie Renew Danone, axée sur l’innovation, la digitalisation et la durabilité.
Risque principal : Danone est exposé à la volatilité des matières premières et de l’énergie, aux fluctuations monétaires et aux évolutions réglementaires sur l’étiquetage et la nutrition. Le ralentissement de la demande en Europe et les tensions géopolitiques pourraient peser sur ses résultats."
United States,Farm & Heavy Construction Machinery,Industrials,NYQ,Deere & Company,DE,USD,USD,465.6,467.59,464.0,471.88,465.6,470.25,340.2,485.84,447.6166,402.4314,912491.0,1338251,1179600,128073064448,272351008,0.80289,2.2888582,171760975872,0.14698,5.5788875,3.07,11.958,5.88,0.0145000005,0.1965,1.31,1.62,-0.418,8224000000,25.61,22.17,-0.383,-0.168,0.34387,0.25671,0.19016,0.07862,0.35481,5801999872,21.206,66679001088,288.043,84.291,1.798,2.078,19241000960,3000000000.0,9831999488.0,550.0,341.21,474.43045,497.5,2.29167,buy,22.0,2:1,1196726400.0,0.19571638,0.935,18.361967,20.601967,1.7412,"Deere & Company, plus connu sous le nom de John Deere, est un leader mondial dans la fabrication d'équipements agricoles, de construction et de foresterie. Son modèle économique repose sur l’intégration des technologies intelligentes, l’optimisation des processus agricoles et industriels, et une forte présence dans le financement de ses équipements via John Deere Financial.
En 2024, l’entreprise a généré 51,7 milliards de dollars de chiffre d’affaires, répartis ainsi : Production & Precision Agriculture (41 %), Small Agriculture & Turf (22 %), Construction & Forestry (26 %), et Services Financiers (11 %). Le segment agricole bénéficie de solutions d’automatisation et de connectivité, optimisant l'efficacité et réduisant la consommation d’intrants. Le segment Construction et Foresterie est renforcé par l’adoption de solutions électriques et hybrides pour minimiser l’empreinte carbone.
Géographiquement, l’activité de Deere est dominée par l’Amérique du Nord (60 %), suivie de l’Europe (20 %), de l’Amérique latine (10 %) et du reste du monde (10 %). La société a investi massivement dans l’électrification et les solutions de gestion de données, avec une stratégie d’abonnement sur certains services technologiques (Solutions as a Service).
Risque principal : Deere & Company est exposé aux cycles agricoles et économiques, notamment la fluctuation des prix des matières premières et des taux d’intérêt, qui influencent la demande de ses équipements. L’entreprise doit aussi faire face à des problèmes de chaîne d’approvisionnement et à l’intensification de la concurrence sur les technologies agricoles autonomes et les équipements électriques."
Germany,Telecom Services,Communication Services,GER,Deutsche Telekom AG,DTE.DE,EUR,EUR,32.91,33.11,33.01,33.5,32.91,33.38,20.73,33.5,30.1374,26.43895,7432896.0,6062466,7328592,166186336256,4978619904,0.45243,1.4331474,315132968960,0.04277,2.9193635,2.718,7.876,0.77,0.026800001,0.77,4.01,0.77,0.357,4953999872,1.21,1.99,0.364,0.041,0.44492,0.34504002,0.21908002,0.04922,0.10299,8590999552,1.736,146966003712,158.994,11.434,0.704,0.99,51592998912,19767126016.0,38328000512.0,43.0,25.1,35.26842,35.0,1.63158,buy,19.0,,,0.4784367,0.592,27.586777,16.073269,29.6955,"Deutsche Telekom est l’un des plus grands opérateurs télécoms mondiaux, dominant les marchés en Europe, en Allemagne et aux États-Unis via T-Mobile US. Son modèle économique repose sur les réseaux 5G et fibre optique, l’expansion internationale, et l’intégration de services numériques.
En 2024, Deutsche Telekom a réalisé 84,8 milliards d’euros de revenus (+2,7 % sur un an) et un EBITDA ajusté de 43 milliards d’euros (+6,9 %). Son chiffre d’affaires est réparti ainsi : T-Mobile US (52 %), Allemagne (22 %), Europe (14 %), Solutions IT (4 %) et autres segments (8 %). Le groupe bénéficie d’un leadership en 5G et fibre optique, avec une couverture de 98 % en Allemagne et en Europe, et plus de 300 millions d’Américains couverts par son réseau 5G avancé.
Géographiquement, l’entreprise est fortement ancrée aux États-Unis (52 % des revenus), en Allemagne (22 %), en Europe (14 %) et dans d’autres marchés (12 %). Elle continue d’investir massivement dans les infrastructures numériques et l’intelligence artificielle pour optimiser l’expérience client et automatiser ses services.
Risque principal : Deutsche Telekom fait face à des défis liés à la pression concurrentielle, aux régulations européennes et américaines, et aux fluctuations des taux d’intérêt, impactant son endettement (128,7 milliards d’euros, ratio de levier <2,75x). La dépendance à T-Mobile US, qui représente plus de la moitié des revenus, est également un facteur à surveiller."
France,Specialty Business Services,Industrials,PAR,Elis SA,ELIS.PA,EUR,EUR,19.23,19.23,19.06,19.38,19.23,19.11,17.64,23.58,19.1652,20.54135,537448.0,322947,309544,4559072768,236480000,0.51437,1.0234069,8321433600,0.05455,1.3131313,1.868,6.036,0.43,0.0224,0.4388,,0.43,-0.141,243000000,0.98,1.38,-0.183,0.069,0.32814,0.30945998,0.12636,0.03971,0.07217,420700000,1.787,4215399936,123.052,14.553,0.647,0.743,1461799936,410362496.0,1398300032.0,28.0,22.5,24.74286,24.25,1.35714,strong_buy,14.0,,,-0.084285736,1.821,19.5,10.177454,,"Elis opère au sein des services circulaires spécialisés dans la location-entretien d’articles textiles, d’équipements d’hygiène et de bien-être pour les entreprises. Son modèle économique repose sur un système d’abonnements et de contrats longue durée, offrant une forte récurrence des revenus et une résilience en période de ralentissement économique.
En 2024, Elis a réalisé un chiffre d’affaires record de 4,57 milliards d’euros (+6,1 % par rapport à 2023), avec une croissance organique de +5,2 % et un EBITDA ajusté à 35,2 %. La répartition géographique des revenus est la suivante : France (30 %), Europe centrale (25 %), Scandinavie & Europe de l’Est (14 %), Royaume-Uni & Irlande (12 %), Amérique latine (10 %), Europe du Sud (9 %). La croissance a été particulièrement forte en Amérique latine (+8,7 %) et en Allemagne (+8 %), portée par une forte demande en workwear et services d’hygiène.
Elis poursuit une stratégie d’acquisitions ciblées, avec des opérations récentes aux Pays-Bas (Moderna, Wasned) et en Malaisie (Wonway) pour renforcer son réseau et pénétrer de nouveaux marchés, notamment le secteur du cleanroom. L’entreprise a également consolidé sa position en Espagne, Allemagne et Suisse avec trois acquisitions en 2025 représentant 50 millions d’euros de chiffre d’affaires supplémentaire.
Risque principal : Elis est exposé à l’inflation des coûts salariaux, aux fluctuations des devises, notamment en Amérique latine, et à la sensibilité du secteur hôtelier."
United States,Specialty Industrial Machinery,Industrials,NYQ,Emerson Electric Co.,EMR,USD,USD,124.37,125.62,124.85,126.79,124.37,126.73,96.62,134.85,127.2182,114.7634,1825089.0,3059050,3607820,71463051264,563900032,0.79918,4.08547,83449839616,0.11251,3.339834,4.771,18.086,2.11,0.0165,0.7447,2.35,0.528,0.339,1618000000,3.54,6.32,0.342,0.129,0.52115,0.26378,0.17601,0.04335,0.05933,3588000000,6.293,8355999744,30.376,37.945,1.323,1.775,9116000256,3088750080.0,3332000000.0,164.0,111.0,141.93286,142.5,1.75862,buy,28.0,2:1,1165881600.0,0.19265437,1.292,35.799435,19.482086,1.6524,"Emerson est un acteur reconnu des technologies et logiciels industriels, spécialisé dans l’automatisation, les solutions de mesure et contrôle, et les logiciels d’optimisation pour les industries hybrides, de process et discrètes. Son modèle repose sur une forte diversification sectorielle, une présence mondiale et des solutions intégrées permettant aux entreprises d’optimiser leurs opérations et d’atteindre leurs objectifs en matière de durabilité et de digitalisation.
En 2024, Emerson a réalisé un chiffre d’affaires de 17,5 milliards de dollars (+15 % par rapport à 2023), avec une croissance organique de 6 % et une marge EBITA ajustée de 26 %. La répartition des revenus par segment est la suivante : Intelligent Devices (70 %), Software & Control (30 %). La croissance a été soutenue par l'intégration réussie de Test & Measurement, qui a généré 100 millions de dollars de synergies dès la première année.
Géographiquement, l’Amérique (58 % des revenus), l’Europe (25 %) et l’Asie, Moyen-Orient & Afrique (17 %) constituent les principaux marchés. Emerson renforce son positionnement stratégique dans l’automatisation industrielle, avec une montée en puissance de sa branche logicielle AspenTech, qui contribue fortement à la croissance et aux marges du groupe.
Risque principal : Emerson est exposé à la cybercriminalité et aux risques réglementaires liés aux technologies critiques. La hausse des coûts de développement technologique et des acquisitions, ainsi que les fluctuations monétaires et géopolitiques, peuvent impacter ses marges et sa compétitivité."
France,Utilities - Diversified,Utilities,PAR,Engie SA,ENGI.PA,EUR,EUR,15.85,15.845,15.845,15.975,15.85,15.96,13.07,16.39,15.4221,15.206075,5180742.0,5234622,5696261,38715609088,2425789952,0.37837002,0.5299008,75091091456,0.068390004,1.3588761,1.028,5.602,1.43,0.09020001,0.7079,6.0,1.43,,4912000000,2.02,2.2,,-0.202,0.31299,0.18347,0.093059994,0.02856,0.15176,18169999360,7.495,49379999744,130.06,11.745,0.462,0.987,22868000768,375375008.0,12567000064.0,23.8,16.6,18.77059,18.5,1.76471,buy,17.0,5:1,989884800.0,0.10978854,0.932,7.90099,8.982289,,"Engie est un leader mondial de l’énergie, spécialisé dans la production et la distribution d’électricité, de gaz et de solutions énergétiques décarbonées. Son modèle économique repose sur la transition énergétique, l’expansion des énergies renouvelables et les infrastructures de réseaux.
En 2024, Engie a généré un chiffre d’affaires de 45,5 milliards d’euros, avec un EBITDA (hors nucléaire) de 10,4 milliards d’euros (-6 % par rapport à 2023) et une marge opérationnelle solide. La répartition des revenus se structure autour de quatre segments principaux. Les renouvelables représentent 25 % des revenus, avec 43,7 GW de capacités installées et 7,2 GW en construction. Les réseaux comptent pour 22 %, avec une expansion significative, notamment un nouveau projet de 1 000 km de lignes haute tension au Brésil. Les solutions énergétiques pèsent 18 %, englobant les services d’optimisation et d’efficacité énergétique pour les entreprises et collectivités. Enfin, Flex Gen & Retail représente 35 %, avec la production d’électricité à partir de gaz et de nucléaire, ainsi que la commercialisation d’énergie.
La répartition géographique des revenus est bien diversifiée avec 60 % en Europe, 20 % en Amérique latine, 10 % en Amérique du Nord et 10 % dans d’autres marchés.
Risque principal : Engie est exposé à la volatilité des prix de l’énergie, aux contraintes réglementaires liées au nucléaire et à la rentabilité de ses investissements dans les énergies renouvelables, qui nécessitent des capitaux importants et une visibilité sur les tarifs à long terme."
France,Medical Instruments & Supplies,Healthcare,PAR,EssilorLuxottica Société anonyme,EL.PA,EUR,EUR,269.9,269.3,269.3,272.8,269.9,272.3,177.58559,272.8,241.276,218.39807,485188.0,498848,541124,124683436032,456536992,0.31824,4.826331,133319901184,0.08876,3.178698,5.161,24.377,3.95,0.0146,0.7853,1.28,3.95,0.003,2292999936,5.02,7.67,-0.017,0.034,0.62495,0.2117,0.14823,0.03513,0.06206,2164999936,4.752,11923000320,30.087,85.664,0.538,0.885,16145000448,3340375040.0,4819999744.0,290.0,173.0,236.4,238.0,2.3,buy,20.0,1.02193:1,1714953600.0,0.44407785,0.897,54.243027,34.8777,2.891,"EssilorLuxottica est un leader mondial de l’optique, intégrant la conception, la fabrication et la distribution de verres correcteurs, montures et lunettes de soleil. Son modèle repose sur une intégration verticale unique, lui permettant de contrôler l’ensemble de la chaîne de valeur, de la fabrication des verres et montures jusqu’à la distribution via un réseau de magasins en propre et partenaires.
En 2024, l’entreprise a généré un chiffre d’affaires de 19,7 milliards d’euros (+4,9 % à taux de change constants). La répartition des revenus se divise en deux segments principaux. Le segment Professional Solutions (9,4 milliards d’euros, +4,5 %) regroupe la vente de verres et montures aux opticiens et professionnels de l’optique. Le segment Direct to Consumer (10,3 milliards d’euros, +5,3 %) concerne la vente directe via son réseau de plus de 17 600 magasins et ses plateformes e-commerce.
Géographiquement, l’Europe (37 % des revenus, +7,3 %) et l’Asie-Pacifique (12 %, +7,7 %) sont les zones les plus dynamiques, tandis que l’Amérique du Nord (45 %, +1,6 %) et l’Amérique latine (6 %, +10,1 %) affichent une croissance plus modérée. La marque Ray-Ban Meta et les innovations comme Transitions Gen S et Stellest pour la myopie contribuent fortement à la croissance.
Risque principal : EssilorLuxottica est exposé aux fluctuations des devises, à la sensibilité des ventes aux cycles économiques et à l’intensification de la concurrence, notamment sur le segment des ventes en ligne et des lunettes connectées"
