Pays,Industrie,Secteur,Bourse,Nom complet,Ticker,Devise,Devise financière,Clôture précédente,Prix d’ouverture,Plus bas du jour,Plus haut du jour,Clôture précédente marché régulier,Prix actuel,Plus bas sur 52 semaines,Plus haut sur 52 semaines,Moyenne sur 50 jours,Moyenne sur 200 jours,Volume,Volume moyen,Volume moyen 10 jours,Capitalisation boursière,Actions en circulation,Pourcentage détenu institutions,Ratio cours/ventes TTM,Valeur d’entreprise,Marges bénéficiaires,Ratio cours/valeur comptable,Valeur entreprise / chiffre d’affaires,Valeur entreprise / EBITDA,Taux de dividende,Rendement du dividende,Ratio de distribution,Rendement moyen 5 ans,Valeur dernier dividende,Croissance trimestrielle bénéfices,Bénéfice net actions ordinaires,BPA historique,BPA prévisionnel,Croissance bénéfices,Croissance chiffre d’affaires,Marges brutes,Marges EBITDA,Marges opérationnelles,Rendement actifs,Rendement capitaux propres,Trésorerie totale,Trésorerie par action,Dette totale,Ratio dette/capitaux propres,Valeur comptable,Ratio liquidité immédiate,Ratio liquidité courante,Bénéfice brut,Flux de trésorerie dispo,Flux de trésorerie exploitation,Objectif prix élevé,Objectif prix bas,Prix cible moyen,Prix cible médian,Moyenne des recommandations,Recommandation clé,Nombre d’avis analystes,Dernier split,Date dernier split,Variation 52 semaines,Bêta,PER historique,PER prévisionnel,Ratio PEG historique
Canada,Aerospace & Defense,Industrials,NYQ,CAE Inc.,CAE,USD,CAD,23.8,23.89,23.7,24.27,23.8,24.06,15.95,25.53,23.8646,20.02195,251583,511153,557880,7665275392,318590016,0.73208,1.7303497,10729424896,-0.07379,1.7491821,2.422,14.718,N/A,N/A,N/A,1.4,0.08,-0.101,-345500000,-0.75,0.99,-0.095,0.082,0.26048002,0.16455999,0.11226,0.02787,-0.07368,179700000,0.564,3244600064,72.68,13.755,0.551,0.841,1153900032,338887488,585200000,28.067244,18.68307,23.375156,23.375156,2.61538,hold,2,N/A,N/A,0.10904002,1.914,N/A,16.688631,
Canada,Railroads,Industrials,NYQ,Canadian Pacific Kansas City Limited,CP,USD,CAD,77.18,77.32,76.97,78.14,77.18,78.11,70.89,91.58,75.6674,79.29495,1243314,3321830,4695040,72915689472,933500032,0.75753,5.0467668,95972909056,0.24502,1.6514441,6.643,12.611,0.53,0.0067000003,0.2005,0.79,0.141,0.073,3540000000,2.78,3.6,0.071,0.063,0.53634,0.52672,0.37418997,0.04397,0.08088,463000000,0.496,21913999360,48.611,47.298,0.415,0.53,7749000192,2288624896,4901000192,100.95344,71.74053,88.56935,90.75422,1.84848,buy,16,5:1,1620950400,-0.08532828,0.789,28.097122,13.884692,
United States,Building Products & Equipment,Industrials,NYQ,Carrier Global Corporation,CARR,USD,USD,64.17,64.79,64.51,66.38,64.17,66.17,53.13,83.32,69.8842,69.71455,6193029,5123508,6594410,59369508864,897227008,0.85653996,2.3938353,68576079872,0.14003,4.0431385,2.765,20.668,0.9,0.0139999995,0.4441,N/A,0.225,0.252,1535000064,1.7,3.04,0.167,0.213,0.28301,0.13378,0.12684,0.04176,0.13931,2224999936,2.48,12876999680,85.607,16.366,0.513,1.079,7018999808,1345374976,1492999936,95.0,53.0,80.0895,79.0,2.28,buy,20,N/A,N/A,0.14507496,1.212,38.923527,22.151253,1.2017
France,Luxury Goods,Consumer Cyclical,PAR,Christian Dior SE,CDI.PA,EUR,EUR,628.5,626.0,625.5,632.0,628.5,630.5,529.5,832.5,613.12,625.825,2771,4222,4387,116735188992,180411008,0.00433,1.3638881,195349921792,0.067940004,4.935073,2.282,8.151,13.0,0.0188,0.4035,1.47,5.5,-0.139,5815000064,28.85,N/A,-0.139,-0.013,0.68528,0.28000998,0.25546,0.09774999,0.24114999,11178000384,61.959,40866000896,63.896,127.759,0.589,1.384,58652999680,9844750336,18928001024,N/A,N/A,N/A,N/A,N/A,none,N/A,4:1,962582400,-0.2003817,1.069,21.85442,N/A,
Switzerland,Luxury Goods,Consumer Cyclical,EBS,Compagnie Financière Richemont SA,CFR.SW,CHF,EUR,175.0,174.35,174.35,175.9,175.0,175.9,112.8,179.0,147.967,136.01276,635349,1090249,997401,102961307648,531582016,0.43280998,5.029372,100816502784,0.06404,5.1744423,4.925,19.881,2.75,0.015700001,0.5042,1.9,2.75,-0.696,3391000064,5.44,6.42,-0.699,-0.014,0.67574996,0.2477,0.21911,0.06633,0.17379999,19170000896,32.719,17386999808,87.005,33.994,1.747,2.523,13834000384,2932250112,4279000064,208.7906,97.0359,168.9326,171.87189,1.96296,buy,28,N/A,N/A,0.29485762,1.22,32.334557,24.167,0.5812
United States,Electronic Components,Technology,NYQ,Corning Incorporated,GLW,USD,USD,52.97,53.33,52.645,53.6,52.97,53.03,30.72,55.33,49.2204,43.3578,2777940,4900725,8294120,45351735296,855209024,0.72836995,3.5962045,50955575296,0.01237,3.8878298,4.041,19.546,1.12,0.0219,5.8946996,2.94,0.28,N/A,156000000,0.58,2.31,N/A,0.069,0.33661,0.20672001,0.11236,0.02754,0.019299999,1612999936,1.884,8341000192,72.739,13.64,0.776,1.655,4244999936,1113874944,2028999936,65.0,43.0,54.78,57.0,1.93333,buy,14,3:1,970617600,0.64605343,1.029,91.43104,19.635431,0.5573
France,REIT - Diversified,Real Estate,PAR,Covivio,COV.PA,EUR,EUR,51.15,51.2,51.2,51.7,51.15,51.6,39.54,56.85,49.47,50.0074,74380,114916,126224,5744834048,110792000,0.40847,5.407147,19627053056,-0.69408995,0.70213634,18.473,22.378,3.3,0.0645,0.5708,6.81,3.3,N/A,-737438016,-7.37,4.36,N/A,0.085,0.80476,0.8255,0.765,0.01918,-0.07551,1335817984,12.056,11568999424,97.47,73.49,0.858,1.317,855017984,-317804864,1082141056,66.0,55.0,62.05455,62.5,2.0,buy,11,5:1,1073260800,0.19621146,1.608,N/A,11.719734,
France,Packaged Foods,Consumer Defensive,PAR,Danone S.A.,BN.PA,EUR,EUR,66.9,66.9,66.38,67.12,66.9,66.64,56.14,67.96,65.098,62.6437,912527,1139030,1224323,42926620672,644156992,0.54312,1.5776625,53169537024,0.03701,2.5619931,1.954,11.126,2.1,0.031400003,1.3548,2.63,2.1,0.115,1003000000,1.55,3.79,0.113,-0.029,0.48439997,0.17563999,0.12692,0.048210002,0.06492,6264999936,9.733,16318999552,97.154,26.011,0.655,0.914,13180000256,2850500096,3521999872,80.0,56.0,68.15455,69.0,2.57143,hold,22,2:1,1180656000,0.096541524,0.471,42.99355,17.479801,0.781
United States,Farm & Heavy Construction Machinery,Industrials,NYQ,Deere & Company,DE,USD,USD,465.6,467.59,464.0,471.88,465.6,470.25,340.2,485.84,447.6166,402.4314,912491,1338251,1179600,128073064448,272351008,0.80289,2.2888582,171760975872,0.14698,5.5788875,3.07,11.958,5.88,0.0145000005,0.1965,1.31,1.62,-0.418,8224000000,25.61,22.17,-0.383,-0.168,0.34387,0.25671,0.19016,0.07862,0.35481,5801999872,21.206,66679001088,288.043,84.291,1.798,2.078,19241000960,3000000000,9831999488,550.0,341.21,474.43045,497.5,2.29167,buy,22,2:1,1196726400,0.19571638,0.935,18.361967,20.601967,1.7412
Germany,Telecom Services,Communication Services,GER,Deutsche Telekom AG,DTE.DE,EUR,EUR,32.91,33.11,33.01,33.5,32.91,33.38,20.73,33.5,30.1374,26.43895,7432896,6062466,7328592,166186336256,4978619904,0.45243,1.4331474,315132968960,0.04277,2.9193635,2.718,7.876,0.77,0.026800001,0.77,4.01,0.77,0.357,4953999872,1.21,1.99,0.364,0.041,0.44492,0.34504002,0.21908002,0.04922,0.10299,8590999552,1.736,146966003712,158.994,11.434,0.704,0.99,51592998912,19767126016,38328000512,43.0,25.1,35.26842,35.0,1.63158,buy,19,N/A,N/A,0.4784367,0.592,27.586777,16.073269,29.6955
France,Specialty Business Services,Industrials,PAR,Elis SA,ELIS.PA,EUR,EUR,19.23,19.23,19.06,19.38,19.23,19.11,17.64,23.58,19.1652,20.54135,537448,322947,309544,4559072768,236480000,0.51437,1.0234069,8321433600,0.05455,1.3131313,1.868,6.036,0.43,0.0224,0.4388,N/A,0.43,-0.141,243000000,0.98,1.38,-0.183,0.069,0.32814,0.30945998,0.12636,0.03971,0.07217,420700000,1.787,4215399936,123.052,14.553,0.647,0.743,1461799936,410362496,1398300032,28.0,22.5,24.74286,24.25,1.35714,strong_buy,14,N/A,N/A,-0.084285736,1.821,19.5,10.177454,
United States,Specialty Industrial Machinery,Industrials,NYQ,Emerson Electric Co.,EMR,USD,USD,124.37,125.62,124.85,126.79,124.37,126.73,96.62,134.85,127.2182,114.7634,1825089,3059050,3607820,71463051264,563900032,0.79918,4.08547,83449839616,0.11251,3.339834,4.771,18.086,2.11,0.0165,0.7447,2.35,0.528,0.339,1618000000,3.54,6.32,0.342,0.129,0.52115,0.26378,0.17601,0.04335,0.05933,3588000000,6.293,8355999744,30.376,37.945,1.323,1.775,9116000256,3088750080,3332000000,164.0,111.0,141.93286,142.5,1.75862,buy,28,2:1,1165881600,0.19265437,1.292,35.799435,19.482086,1.6524
France,Utilities - Diversified,Utilities,PAR,Engie SA,ENGI.PA,EUR,EUR,15.85,15.845,15.845,15.975,15.85,15.96,13.07,16.39,15.4221,15.206075,5180742,5234622,5696261,38715609088,2425789952,0.37837002,0.5299008,75091091456,0.068390004,1.3588761,1.028,5.602,1.43,0.09020001,0.7079,6.0,1.43,N/A,4912000000,2.02,2.2,N/A,-0.202,0.31299,0.18347,0.093059994,0.02856,0.15176,18169999360,7.495,49379999744,130.06,11.745,0.462,0.987,22868000768,375375008,12567000064,23.8,16.6,18.77059,18.5,1.76471,buy,17,5:1,989884800,0.10978854,0.932,7.90099,8.982289,
France,Medical Instruments & Supplies,Healthcare,PAR,EssilorLuxottica Société anonyme,EL.PA,EUR,EUR,269.9,269.3,269.3,272.8,269.9,272.3,177.58559,272.8,241.276,218.39807,485188,498848,541124,124683436032,456536992,0.31824,4.826331,133319901184,0.08876,3.178698,5.161,24.377,3.95,0.0146,0.7853,1.28,3.95,0.003,2292999936,5.02,7.67,-0.017,0.034,0.62495,0.2117,0.14823,0.03513,0.06206,2164999936,4.752,11923000320,30.087,85.664,0.538,0.885,16145000448,3340375040,4819999744,290.0,173.0,236.4,238.0,2.3,buy,20,1.02193:1,1714953600,0.44407785,0.897,54.243027,34.8777,2.891
Netherlands,Financial Data & Stock Exchanges,Financial Services,PAR,Euronext N.V.,ENX.PA,EUR,EUR,113.0,113.1,112.9,113.9,113.0,113.1,78.3,114.4,108.47,98.56975,230645,202753,202747,11697593344,103427000,0.56162,7.379063,13268855808,0.36056998,2.8581538,8.37,15.587,2.48,0.0219,0.51669997,2.31,2.48,-0.042,571584000,4.8,6.64,-0.019,0.1,1.0,0.537,0.49054,0.00223,0.14506,1691900032,16.323,3099800064,72.935,39.571,0.009,1.003,1585240960,563417472,727939968,130.0,89.0,114.65556,117.5,1.88889,buy,18,N/A,N/A,0.4002478,0.842,23.562498,16.679914,2.5008
France,Oil & Gas Equipment & Services,Energy,PAR,Gaztransport & Technigaz SA,GTT.PA,EUR,EUR,144.7,139.0,134.2,139.9,144.7,138.9,117.3,152.0,138.11,132.851,260868,87141,81544,5274324480,37050300,0.51522,9.683273,5072954368,0.5281,12.247597,9.314,16.074,7.34,0.0507,0.56189996,3.88,3.67,1.027,287648000,7.76,10.34,1.013,0.658,0.9558,0.5794,0.58417,0.3001,0.8136,303212992,8.184,15034000,3.578,11.341,1.965,2.121,520607008,96075872,251520992,180.0,150.0,168.66667,173.5,1.16667,strong_buy,6,N/A,N/A,0.1139338,0.464,17.899483,13.263941,
Belgium,Asset Management,Financial Services,BRU,Groupe Bruxelles Lambert SA,GBLB.BR,EUR,EUR,66.2,66.25,66.1,66.65,66.2,66.6,62.65,72.4,65.854,67.63375,178923,104815,106204,8412645376,124901000,0.26083001,1.2698524,15741500416,0.00782,0.59919024,2.376,11.74,2.75,0.041500002,6.875,3.61,2.75,N/A,52000000,0.4,3.17,N/A,-0.094,0.67983,0.20239,0.08501001,N/A,N/A,2913100032,22.938,8271499776,50.942,111.15,N/A,N/A,4503799808,N/A,N/A,100.0,73.0,89.83333,90.5,1.83333,buy,6,N/A,N/A,-0.057248652,0.786,166.5,23.617022,
Japan,Conglomerates,Industrials,JPX,"Hitachi, Ltd.",6501.T,JPY,JPY,4080.0,4064.0,4015.0,4088.0,4080.0,4021.0,2382.0,4147.0,3924.56,3615.91,10519100,11723605,17431970,18407695056896,4577889792,0.44006002,1.9762136,18760226308096,N/A,3.266251,2.014,14.364,42.0,0.0106,0.32900003,1.86,21.0,-0.159,673065992192,124.65,178.13,-0.152,-0.115,N/A,N/A,0.088719994,N/A,N/A,1099710988288,238.739,1529083985920,27.037,1231.075,0.785,1.155,2645753069568,963407773696,963020980224,5600.0,3500.0,4600.8667,4600.0,1.6,buy,15,5:1,1719446400,0.6887417,N/A,32.258324,22.5734,
South Korea,Auto Parts,Consumer Cyclical,KSC,"Hyundai Mobis Co.,Ltd",012330.KS,KRW,KRW,247000.0,N/A,N/A,N/A,247000.0,246500.0,N/A,270000.0,248660.0,234997.5,N/A,210254,218981,22305933623296,90490600,0.31641,0.38842258,15489078132736,0.06107,N/A,0.27,4.638,4500.0,0.0176,0.1184,1.78,5000.0,0.07,3507086950400,N/A,N/A,0.082,-0.066,0.122559994,0.05815,0.0434,0.02471,0.08537,10672309010432,118569.82,3264351043584,7.633,N/A,1.619,2.147,7037975003136,1356424806400,5755753201664,380000.0,270000.0,329964.28,330000.0,1.53571,buy,28,N/A,N/A,0.05781579,0.759,N/A,4.947643,0.09
Spain,Utilities - Diversified,Utilities,MCE,"Iberdrola, S.A.",IBE.MC,EUR,EUR,13.505,13.515,13.475,13.615,13.505,13.57,10.415,14.26,13.3754,12.90555,6447924,11017670,7577764,87368679424,6438369792,0.44179,1.9304241,149116207104,0.14664,1.9126146,3.295,10.664,0.58,0.0431,0.55189997,4.11,0.23,0.198,6454700032,1.0,0.71,0.195,-0.041,0.52955,0.30896,0.21108,0.038340002,0.11805,8627000320,1.356,54839001088,88.292,7.095,0.646,0.785,23966599168,N/A,N/A,16.0,9.6,14.26773,14.5,2.59091,hold,22,4:1,1191801600,0.25220215,0.617,13.57,15.0381775,2.6403
United Kingdom,Lodging,Consumer Cyclical,LSE,InterContinental Hotels Group PLC,IHG.L,GBp,USD,10880.0,10880.0,10850.0,10975.0,10880.0,10870.0,7032.0,10975.0,10168.14,8674.345,267585,368621,343986,17137098752,157655008,0.66886,4.4814587,20544040960,0.16684,N/A,5.372,20.28,1.25,0.0115,0.4,1.82,83.9,-0.244,638000000,3.12,3.88,-0.202,0.043,0.49842998,0.26490998,0.22524,0.14121,N/A,858000000,5.254,3632000000,N/A,-13.497,0.843,0.847,1906000000,625875008,740000000,11403.198,6802.028,9323.905,9364.332,3.23529,hold,17,19:20,1547424000,0.40677524,0.963,34.839745,2164.834,2.0389
United States,Information Technology Services,Technology,NYQ,International Business Machines Corporation,IBM,USD,USD,250.67,250.86,246.87,251.95,250.67,249.26,162.62,265.72,230.1304,202.97736,2828390,4369953,6919560,230477004800,924644992,0.63130003,3.682918,257907621888,0.10222,9.427382,4.121,17.573,6.68,0.0292,1.0389,4.67,1.67,N/A,6373000192,6.41,10.61,N/A,0.015,0.56534,0.23452,0.14130999,0.047270004,0.26729,13701999616,14.819,60125999104,245.112,26.44,0.896,1.059,35378999296,10412125184,13578000384,300.0,160.0,250.87389,263.15,2.5,buy,18,1046:1000,1635984000,0.3555007,0.71,38.886116,21.946114,1.3825
Japan,Farm & Heavy Construction Machinery,Industrials,JPX,Komatsu Ltd.,6301.T,JPY,JPY,4544.0,4543.0,4542.0,4610.0,4544.0,4589.0,3324.0,5131.0,4312.5,4289.935,1756300,2580388,3005000,4234917445632,922841024,0.44035,1.056038,5450929012736,0.09715,1.4310234,1.359,7.0,168.0,0.0355,0.4164,3.35,84.0,-0.081,389429985280,427.69,424.68,-0.062,0.092,0.31272,0.19418,0.14524001,0.07073,0.13569,409534988288,443.775,1324568936448,42.716,3206.796,0.959,1.992,1254086017024,285962633216,465137991680,5370.0,3500.0,4680.0,5000.0,2.5,buy,11,N/A,N/A,0.049907565,0.889,10.729734,10.805783,1.617
Australia,Capital Markets,Financial Services,ASX,Macquarie Group Limited,MQG.AX,AUD,AUD,229.97,226.88,225.02,228.94,229.97,227.89,180.01,242.9,229.6054,217.4137,477476,469235,495859,87775485952,385073984,0.34749,4.762642,165669961728,0.23288,2.5682375,8.989,N/A,7.05,0.0385,0.6834,3.71,2.6,-0.386,4148999936,10.98,11.77,-0.374,-0.082,N/A,N/A,0.25199,0.00971,0.13202,78932000768,214.508,176673996800,N/A,88.734,N/A,N/A,18429999104,N/A,-32081000448,248.0,167.27,213.0309,218.5,2.83333,hold,12,0.9438:1,1387152000,0.2112788,1.119,20.75501,19.532099,
Japan,Chemicals,Basic Materials,JPX,Nippon Sanso Holdings Corporation,4091.T,JPY,JPY,4484.0,4450.0,4396.0,4469.0,4484.0,4424.0,3637.0,5475.0,4365.48,4689.94,462900,507731,567820,1914954973184,432856000,0.19514999,1.489594,2611852083200,N/A,2.0940437,2.032,9.096,48.0,0.0113,0.1889,1.31,24.0,N/A,106548002816,254.24,276.73,N/A,N/A,N/A,N/A,0.12538,0.04508,0.119219996,135128997888,312.18,871977975808,91.597,2112.659,0.889,1.249,533175009280,82874621952,247425007616,5700.0,4390.0,5026.6665,4850.0,2.66667,hold,9,N/A,N/A,0.061553,N/A,17.40088,15.986701,
France,Advertising Agencies,Communication Services,PAR,Publicis Groupe S.A.,PUB.PA,EUR,EUR,106.75,107.0,105.75,107.4,106.75,105.95,86.82,109.3,102.2898,100.26935,391584,440771,556277,26816792576,250991008,0.63639,1.7473638,28711354368,0.09526,2.6818032,1.871,11.189,3.4,0.0332,0.59029996,2.68,3.4,0.241,1462000000,6.55,7.73,0.24,0.077,0.43278998,0.1672,0.14026,0.041079998,0.15469,3081999872,12.279,5543000064,56.132,39.507,0.87,0.894,6641999872,1400499968,1555000064,142.0,100.0,119.28571,118.0,2.0,buy,14,N/A,N/A,0.10370135,0.996,16.175571,12.564751,2.3109
United States,Semiconductors,Technology,NMS,QUALCOMM Incorporated,QCOM,USD,USD,167.96,169.67,169.0,171.8,167.96,171.36,148.41,230.63,162.0342,175.63284,5895161,8090701,9552500,189524164608,1106000000,0.80716,4.8643336,197520457728,0.2603,7.259171,5.07,16.516,3.4,0.019299999,0.3614,2.16,0.85,0.96,10110000128,9.27,12.23,0.941,0.187,0.56214,0.30694,0.2625,0.12069,0.42253,13299999744,11.971,15440000000,58.765,23.606,1.64,2.402,21902000128,8920500224,12202000384,270.0,160.0,200.99419,190.0,2.15385,buy,31,2:1,1092614400,0.0970608,1.286,18.485435,13.961025,1.689
Switzerland,Drug Manufacturers - General,Healthcare,EBS,Roche Holding AG,ROG.SW,CHF,CHF,289.0,288.7,286.2,290.6,289.0,290.6,212.9,292.1,264.404,261.31,1248673,1086835,1194318,233606660096,690097984,0.38664,3.8561044,258539257856,0.17528999,8.000441,4.268,12.287,9.6,0.0337,0.72510004,3.16,9.7,-0.123,10618999808,13.24,20.49,-0.121,0.005,0.74538004,0.34732,0.35268003,0.12488,0.36356,8814000128,11.062,36174999552,110.035,36.323,0.801,1.264,45155999744,8125374976,16110999552,448.0,230.0,307.3405,292.0,2.68421,hold,19,100:1,988934400,0.2703297,0.145,21.94864,13.127337,1.4066
